epoch	loss	clip
1	1.5654275222856722	0.5802825947334618
2	0.4126177533896366	0.8770070648683366
3	0.2448067283048489	0.9271034039820167
4	0.20072422750346847	0.9441233140655106
5	0.16324544538652278	0.9519910083493899
6	0.13720098767589894	0.9616249197174053
7	0.1224908649959699	0.9638728323699421
8	0.12835749097565619	0.9632305716120745
9	0.11462330760753683	0.9701348747591522
10	0.11938354608410814	0.9662813102119461
11	0.08535057501526466	0.9743095696852923
12	0.10565140102640053	0.9674052665382146
13	0.08230389328284683	0.9776814386640976
14	0.07257096018635009	0.9786448298008992
15	0.08392127519551193	0.9767180475272961
16	0.05350215310995289	0.9853885677585099
17	0.07542615497273057	0.9802504816955684
18	0.09307843527123189	0.974630700064226
19	0.05046074709680958	0.9868336544637123
20	0.0534689177590911	0.9852280025690431
21	0.0878843144491535	0.9749518304431599
22	0.07109456014081922	0.9797687861271677
23	0.06378475606786033	0.9815350032113038
24	0.06065350502978247	0.9844251766217084
25	0.027513770239431273	0.9914900449582531
26	0.017671826487561413	0.9950224791265254
27	0.01350597555850206	0.9964675658317277
28	0.0117324925265254	0.9969492614001284
29	0.010614933535772482	0.9972703917790623
30	0.010723884624782555	0.9969492614001284
31	0.007588031281242787	0.9985549132947977
32	0.00929396544501195	0.9982337829158638
33	0.010022392086134403	0.9971098265895953
34	0.011771962247602283	0.9969492614001284
35	0.008893770825503036	0.9977520873474631
36	0.007655657631660319	0.9983943481053308
37	0.007047817962783686	0.9977520873474631
38	0.006408630538308322	0.9985549132947977
39	0.004793896917050361	0.9988760436737315
40	0.0044544194857891965	0.9990366088631984
41	0.006339326299913586	0.9975915221579962
42	0.004367009982437987	0.9987154784842646
43	0.00608341006338405	0.9988760436737315
44	0.004856030184562649	0.9985549132947977
45	0.005447238166897283	0.9987154784842646
46	0.0054244437735281315	0.9985549132947977
47	0.0042330192003636	0.9995183044315993
48	0.005055928429350611	0.9988760436737315
49	0.0038379400911129047	0.9991971740526654
50	0.005961839710203746	0.9987154784842646
51	0.0046232711373037	0.9987154784842646
52	0.004026242227376694	0.9993577392421323
53	0.0035572735713549587	0.9993577392421323
54	0.004456992477044588	0.9987154784842646
55	0.0048314215819959695	0.9991971740526654
56	0.006731602804126384	0.9982337829158638
57	0.004419644979919159	0.9991971740526654
58	0.003684594145782804	0.9996788696210661
59	0.0038322663567505666	0.9993577392421323
60	0.00487406045562117	0.9988760436737315
61	0.0039937568154944465	0.9993577392421323
62	0.004990765584456897	0.9985549132947977
63	0.005635864166548869	0.9983943481053308
64	0.005748116977718601	0.9990366088631984
65	0.004898839029043855	0.9985549132947977
66	0.0049306743024018765	0.9985549132947977
67	0.004739603249017597	0.9993577392421323
68	0.00459378054299719	0.9987154784842646
69	0.005515218776391727	0.9993577392421323
70	0.0033033619956014705	0.9995183044315993
71	0.005890759123236841	0.9983943481053308
72	0.004735381999839631	0.9990366088631984
73	0.0045793005956160995	0.9987154784842646
